Projector;MSE;NRMSE;PSNR;SSIM
Blob;5.524e-03;2.997e-01;28.598;0.487
B-Spline;5.497e-03;2.989e-01;28.619;0.488
Siddon;5.658e-03;3.033e-01;28.494;0.456
Joseph;5.511e-03;2.993e-01;28.608;0.474
