Projector;MSE;NRMSE;PSNR;SSIM
Blob;1.409e-03;1.514e-01;34.530;0.907
B-Spline;1.384e-03;1.500e-01;34.610;0.908
Siddon;9.339e-04;1.232e-01;36.318;0.838
Joseph;1.084e-03;1.327e-01;35.672;0.889
