Projector;MSE;NRMSE;PSNR;SSIM
Blob;4.491e-04;8.545e-02;39.497;0.934
B-Spline;4.189e-04;8.253e-02;39.800;0.943
Siddon;2.996e-04;6.979e-02;41.255;0.858
Joseph;3.171e-04;7.181e-02;41.008;0.877
